stamp,year,month,day,hour,minute,weekday,holiday,daylight,rain,volume
2016-02-01 00:00:00,2016,2,1,0,0,1,0.0,0.0,0.0,672
2016-02-01 00:15:00,2016,2,1,0,15,1,0.0,0.0,0.0,672
2016-02-01 00:30:00,2016,2,1,0,30,1,0.0,0.0,0.0,624
2016-02-01 00:45:00,2016,2,1,0,45,1,0.0,0.0,0.0,480
2016-02-01 01:00:00,2016,2,1,1,0,1,0.0,0.0,0.0,408
2016-02-01 01:15:00,2016,2,1,1,15,1,0.0,0.0,0.0,348
2016-02-01 01:30:00,2016,2,1,1,30,1,0.0,0.0,0.0,312
2016-02-01 01:45:00,2016,2,1,1,45,1,0.0,0.0,0.0,300
2016-02-01 02:00:00,2016,2,1,2,0,1,0.0,0.0,0.0,288
2016-02-01 02:15:00,2016,2,1,2,15,1,0.0,0.0,0.0,324
2016-02-01 02:30:00,2016,2,1,2,30,1,0.0,0.0,0.0,300
2016-02-01 02:45:00,2016,2,1,2,45,1,0.0,0.0,0.0,288
2016-02-01 03:00:00,2016,2,1,3,0,1,0.0,0.0,0.0,288
2016-02-01 03:15:00,2016,2,1,3,15,1,0.0,0.0,0.0,360
2016-02-01 03:30:00,2016,2,1,3,30,1,0.0,0.0,0.0,360
2016-02-01 03:45:00,2016,2,1,3,45,1,0.0,0.0,0.0,384
2016-02-01 04:00:00,2016,2,1,4,0,1,0.0,0.0,0.0,528
2016-02-01 04:15:00,2016,2,1,4,15,1,0.0,0.0,0.0,660
2016-02-01 04:30:00,2016,2,1,4,30,1,0.0,0.0,0.0,876
2016-02-01 04:45:00,2016,2,1,4,45,1,0.0,0.0,0.0,1020
2016-02-01 05:00:00,2016,2,1,5,0,1,0.0,0.0,0.0,1296
2016-02-01 05:15:00,2016,2,1,5,15,1,0.0,0.0,0.0,1572
2016-02-01 05:30:00,2016,2,1,5,30,1,0.0,0.0,0.0,2052
2016-02-01 05:45:00,2016,2,1,5,45,1,0.0,0.0,0.0,2136
2016-02-01 06:00:00,2016,2,1,6,0,1,0.0,0.0,0.0,2256
2016-02-01 06:15:00,2016,2,1,6,15,1,0.0,0.0,0.0,2592
2016-02-01 06:30:00,2016,2,1,6,30,1,0.0,0.0,0.0,2952
2016-02-01 06:45:00,2016,2,1,6,45,1,0.0,0.0,0.0,3192
2016-02-01 07:00:00,2016,2,1,7,0,1,0.0,0.0,0.0,3348
2016-02-01 07:15:00,2016,2,1,7,15,1,0.0,0.0,0.0,3744
2016-02-01 07:30:00,2016,2,1,7,30,1,0.0,0.0,0.0,4236
2016-02-01 07:45:00,2016,2,1,7,45,1,0.0,0.0,0.0,4272
2016-02-01 08:00:00,2016,2,1,8,0,1,0.0,0.0,0.0,3828
2016-02-01 08:15:00,2016,2,1,8,15,1,0.0,0.0,0.0,3924
2016-02-01 08:30:00,2016,2,1,8,30,1,0.0,0.0,0.0,3696
2016-02-01 08:45:00,2016,2,1,8,45,1,0.0,0.0,0.0,3552
2016-02-01 09:00:00,2016,2,1,9,0,1,0.0,0.0,0.0,3288
2016-02-01 09:15:00,2016,2,1,9,15,1,0.0,0.0,0.0,3468
2016-02-01 09:30:00,2016,2,1,9,30,1,0.0,0.0,0.0,3180
2016-02-01 09:45:00,2016,2,1,9,45,1,0.0,0.0,0.0,2940
2016-02-01 10:00:00,2016,2,1,10,0,1,0.0,0.0,0.0,3012
2016-02-01 10:15:00,2016,2,1,10,15,1,0.0,0.0,0.0,3216
2016-02-01 10:30:00,2016,2,1,10,30,1,0.0,0.0,0.0,3456
2016-02-01 10:45:00,2016,2,1,10,45,1,0.0,0.0,0.0,3024
2016-02-01 11:00:00,2016,2,1,11,0,1,0.0,0.0,0.0,3060
2016-02-01 11:15:00,2016,2,1,11,15,1,0.0,0.0,0.0,3408
2016-02-01 11:30:00,2016,2,1,11,30,1,0.0,0.0,0.0,3600
2016-02-01 11:45:00,2016,2,1,11,45,1,0.0,0.0,0.0,3564
2016-02-01 12:00:00,2016,2,1,12,0,1,0.0,0.0,0.0,3468
2016-02-01 12:15:00,2016,2,1,12,15,1,0.0,0.0,0.0,3684
2016-02-01 12:30:00,2016,2,1,12,30,1,0.0,0.0,0.0,3696
2016-02-01 12:45:00,2016,2,1,12,45,1,0.0,0.0,0.0,3744
2016-02-01 13:00:00,2016,2,1,13,0,1,0.0,0.0,0.0,3960
2016-02-01 13:15:00,2016,2,1,13,15,1,0.0,0.0,0.0,3948
2016-02-01 13:30:00,2016,2,1,13,30,1,0.0,0.0,0.0,4116
2016-02-01 13:45:00,2016,2,1,13,45,1,0.0,0.0,0.0,4272
2016-02-01 14:00:00,2016,2,1,14,0,1,0.0,0.0,0.0,4608
2016-02-01 14:15:00,2016,2,1,14,15,1,0.0,0.0,0.0,4608
2016-02-01 14:30:00,2016,2,1,14,30,1,0.0,0.0,0.0,4236
2016-02-01 14:45:00,2016,2,1,14,45,1,0.0,0.0,0.0,3540
