stamp,year,month,day,hour,minute,weekday,holiday,daylight,rain,volume
2016-03-01 00:00:00,2016,3,1,0,0,2,0.0,0.0,0.0,1536
2016-03-01 00:30:00,2016,3,1,0,30,2,0.0,0.0,0.0,1116
2016-03-01 01:00:00,2016,3,1,1,0,2,0.0,0.0,0.0,900
2016-03-01 01:30:00,2016,3,1,1,30,2,0.0,0.0,0.0,768
2016-03-01 02:00:00,2016,3,1,2,0,2,0.0,0.0,0.0,732
2016-03-01 02:30:00,2016,3,1,2,30,2,0.0,0.0,0.0,624
2016-03-01 03:00:00,2016,3,1,3,0,2,0.0,0.0,0.0,624
2016-03-01 03:30:00,2016,3,1,3,30,2,0.0,0.0,0.0,792
2016-03-01 04:00:00,2016,3,1,4,0,2,0.0,0.0,0.0,1092
2016-03-01 04:30:00,2016,3,1,4,30,2,0.0,0.0,0.0,1848
2016-03-01 05:00:00,2016,3,1,5,0,2,0.0,0.0,0.0,2808
2016-03-01 05:30:00,2016,3,1,5,30,2,0.0,0.0,0.0,4104
2016-03-01 06:00:00,2016,3,1,6,0,2,0.0,0.0,0.0,4944
2016-03-01 06:30:00,2016,3,1,6,30,2,0.0,0.0,0.0,6648
2016-03-01 07:00:00,2016,3,1,7,0,2,0.0,0.0,0.0,7236
2016-03-01 07:30:00,2016,3,1,7,30,2,0.0,0.0,0.0,8364
2016-03-01 08:00:00,2016,3,1,8,0,2,0.0,0.0,0.0,7548
2016-03-01 08:30:00,2016,3,1,8,30,2,0.0,0.0,0.0,7176
2016-03-01 09:00:00,2016,3,1,9,0,2,0.0,0.0,0.0,6180
2016-03-01 09:30:00,2016,3,1,9,30,2,0.0,0.0,0.0,6312
2016-03-01 10:00:00,2016,3,1,10,0,2,0.0,0.0,0.0,5916
2016-03-01 10:30:00,2016,3,1,10,30,2,0.0,0.0,0.0,6372
2016-03-01 11:00:00,2016,3,1,11,0,2,0.0,0.0,0.0,6480
2016-03-01 11:30:00,2016,3,1,11,30,2,0.0,0.0,0.0,7512
2016-03-01 12:00:00,2016,3,1,12,0,2,0.0,0.0,0.0,7572
2016-03-01 12:30:00,2016,3,1,12,30,2,0.0,0.0,0.0,8184
2016-03-01 13:00:00,2016,3,1,13,0,2,0.0,0.0,0.0,8028
2016-03-01 13:30:00,2016,3,1,13,30,2,0.0,0.0,0.0,8544
2016-03-01 14:00:00,2016,3,1,14,0,2,0.0,0.0,0.0,8772
2016-03-01 14:30:00,2016,3,1,14,30,2,0.0,0.0,0.0,5928
2016-03-01 15:00:00,2016,3,1,15,0,2,0.0,0.0,0.0,6108
2016-03-01 15:30:00,2016,3,1,15,30,2,0.0,0.0,0.0,9816
2016-03-01 16:00:00,2016,3,1,16,0,2,0.0,0.0,0.0,9516
2016-03-01 16:30:00,2016,3,1,16,30,2,0.0,0.0,0.0,9528
2016-03-01 17:00:00,2016,3,1,17,0,2,0.0,0.0,0.0,9468
2016-03-01 17:30:00,2016,3,1,17,30,2,0.0,0.0,0.0,8772
2016-03-01 18:00:00,2016,3,1,18,0,2,0.0,0.0,0.0,8112
2016-03-01 18:30:00,2016,3,1,18,30,2,0.0,0.0,0.0,8292
2016-03-01 19:00:00,2016,3,1,19,0,2,0.0,0.0,0.0,8004
2016-03-01 19:30:00,2016,3,1,19,30,2,0.0,0.0,0.0,6516
2016-03-01 20:00:00,2016,3,1,20,0,2,0.0,0.0,0.0,5652
2016-03-01 20:30:00,2016,3,1,20,30,2,0.0,0.0,0.0,5004
2016-03-01 21:00:00,2016,3,1,21,0,2,0.0,0.0,0.0,5148
2016-03-01 21:30:00,2016,3,1,21,30,2,0.0,0.0,0.0,4476
2016-03-01 22:00:00,2016,3,1,22,0,2,0.0,0.0,0.0,3780
2016-03-01 22:30:00,2016,3,1,22,30,2,0.0,0.0,0.0,3036
2016-03-01 23:00:00,2016,3,1,23,0,2,0.0,0.0,0.0,2616
2016-03-01 23:30:00,2016,3,1,23,30,2,0.0,0.0,0.0,2100
2016-03-02 00:00:00,2016,3,2,0,0,3,0.0,0.0,0.0,1560
2016-03-02 00:30:00,2016,3,2,0,30,3,0.0,0.0,0.0,1212
2016-03-02 01:00:00,2016,3,2,1,0,3,0.0,0.0,0.0,852
2016-03-02 01:30:00,2016,3,2,1,30,3,0.0,0.0,0.0,732
2016-03-02 02:00:00,2016,3,2,2,0,3,0.0,0.0,0.0,744
2016-03-02 02:30:00,2016,3,2,2,30,3,0.0,0.0,0.0,672
2016-03-02 03:00:00,2016,3,2,3,0,3,0.0,0.0,0.0,684
2016-03-02 03:30:00,2016,3,2,3,30,3,0.0,0.0,0.0,912
2016-03-02 04:00:00,2016,3,2,4,0,3,0.0,0.0,0.0,1176
2016-03-02 04:30:00,2016,3,2,4,30,3,0.0,0.0,0.0,2004
2016-03-02 05:00:00,2016,3,2,5,0,3,0.0,0.0,0.0,2748
2016-03-02 05:30:00,2016,3,2,5,30,3,0.0,0.0,0.0,4284
